ロールID,学籍番号/社員番号,メールアドレス,ニックネーム,学科,パスワード,入学年度
0,1400001,1400001@st.asojuku.ac.jp,学生0001,0,1400001,2016
0,1400000,1400002@st.asojuku.ac.jp,学生0002,0,1400002,2016
0,1400003,1400003@st.asojuku.ac.jp,学生0003,0,1400003,2016
0,1400004,1400004@st.asojuku.ac.jp,学生0004,0,1400004,2016
0,1400005,1400005@st.asojuku.ac.jp,学生0005,0,1400005,2016
0,1400006,1400006@st.asojuku.ac.jp,学生0006,0,1400006,2016
0,1400007,1400007@st.asojuku.ac.jp,学生0007,0,1400007,2016
0,1400008,1400008@st.asojuku.ac.jp,学生0008,0,1400008,2016
0,1400009,1400009@st.asojuku.ac.jp,学生0009,0,1400009,2016
0,1400010,1400010@st.asojuku.ac.jp,学生0010,0,1400010,2016
0,1400011,1400011@st.asojuku.ac.jp,学生0011,0,1400011,2016
0,1400010,1400012@st.asojuku.ac.jp,学生0012,0,1400012,2016
0,1400013,1400013@st.asojuku.ac.jp,学生0013,0,1400013,2016
0,1400014,1400014@st.asojuku.ac.jp,学生0014,0,1400014,2016
0,1400015,1400015@st.asojuku.ac.jp,学生0015,0,1400015,2016
0,1400016,1400016@st.asojuku.ac.jp,学生0016,0,1400016,2016
0,1400017,1400017@st.asojuku.ac.jp,学生0017,0,1400017,2016
0,1400018,1400018@st.asojuku.ac.jp,学生0018,0,1400018,2016
0,1400019,1400019@st.asojuku.ac.jp,学生0019,0,1400019,2016
0,1400020,1400020@st.asojuku.ac.jp,学生0020,0,1400020,2016
0,1400021,1400021@st.asojuku.ac.jp,学生0021,0,1400021,2016
0,1400020,1400022@st.asojuku.ac.jp,学生0022,0,1400022,2016
0,1400023,1400023@st.asojuku.ac.jp,学生0023,0,1400023,2016
0,1400024,1400024@st.asojuku.ac.jp,学生0024,0,1400024,2016
0,1400025,1400025@st.asojuku.ac.jp,学生0025,0,1400025,2016
0,1400026,1400026@st.asojuku.ac.jp,学生0026,0,1400026,2016
0,1400027,1400027@st.asojuku.ac.jp,学生0027,0,1400027,2016
0,1400028,1400028@st.asojuku.ac.jp,学生0028,0,1400028,2016
0,1400029,1400029@st.asojuku.ac.jp,学生0029,0,1400029,2016
0,1400030,1400030@st.asojuku.ac.jp,学生0030,0,1400030,2016
0,1400031,1400031@st.asojuku.ac.jp,学生0031,0,1400031,2016
0,1400030,1400032@st.asojuku.ac.jp,学生0032,0,1400032,2016
0,1400033,1400033@st.asojuku.ac.jp,学生0033,0,1400033,2016
0,1400034,1400034@st.asojuku.ac.jp,学生0034,0,1400034,2016
0,1400035,1400035@st.asojuku.ac.jp,学生0035,0,1400035,2016
0,1400036,1400036@st.asojuku.ac.jp,学生0036,0,1400036,2016
0,1400037,1400037@st.asojuku.ac.jp,学生0037,0,1400037,2016
0,1400038,1400038@st.asojuku.ac.jp,学生0038,0,1400038,2016
0,1400039,1400039@st.asojuku.ac.jp,学生0039,0,1400039,2016
0,1400040,1400040@st.asojuku.ac.jp,学生0040,1,1400040,2016
0,1400041,1400041@st.asojuku.ac.jp,学生0041,1,1400041,2016
0,1400040,1400042@st.asojuku.ac.jp,学生0042,1,1400042,2016
0,1400043,1400043@st.asojuku.ac.jp,学生0043,1,1400043,2016
0,1400044,1400044@st.asojuku.ac.jp,学生0044,1,1400044,2016
0,1400045,1400045@st.asojuku.ac.jp,学生0045,1,1400045,2016
0,1400046,1400046@st.asojuku.ac.jp,学生0046,1,1400046,2016
0,1400047,1400047@st.asojuku.ac.jp,学生0047,1,1400047,2016
0,1400048,1400048@st.asojuku.ac.jp,学生0048,1,1400048,2016
0,1400049,1400049@st.asojuku.ac.jp,学生0049,1,1400049,2016
0,1400050,1400050@st.asojuku.ac.jp,学生0050,1,1400050,2016
0,1400051,1400051@st.asojuku.ac.jp,学生0051,1,1400051,2016
0,1400050,1400052@st.asojuku.ac.jp,学生0052,1,1400052,2016
0,1400053,1400053@st.asojuku.ac.jp,学生0053,1,1400053,2016
0,1400054,1400054@st.asojuku.ac.jp,学生0054,1,1400054,2016
0,1400055,1400055@st.asojuku.ac.jp,学生0055,1,1400055,2016
0,1400056,1400056@st.asojuku.ac.jp,学生0056,1,1400056,2016
0,1400057,1400057@st.asojuku.ac.jp,学生0057,1,1400057,2016
0,1400058,1400058@st.asojuku.ac.jp,学生0058,1,1400058,2016
0,1400059,1400059@st.asojuku.ac.jp,学生0059,1,1400059,2016
0,1400060,1400060@st.asojuku.ac.jp,学生0060,1,1400060,2016
0,1400061,1400061@st.asojuku.ac.jp,学生0061,1,1400061,2016
0,1400060,1400062@st.asojuku.ac.jp,学生0062,1,1400062,2016
0,1400063,1400063@st.asojuku.ac.jp,学生0063,1,1400063,2016
0,1400064,1400064@st.asojuku.ac.jp,学生0064,1,1400064,2016
0,1400065,1400065@st.asojuku.ac.jp,学生0065,1,1400065,2016
0,1400066,1400066@st.asojuku.ac.jp,学生0066,1,1400066,2016
0,1400067,1400067@st.asojuku.ac.jp,学生0067,1,1400067,2016
0,1400068,1400068@st.asojuku.ac.jp,学生0068,1,1400068,2016
0,1400069,1400069@st.asojuku.ac.jp,学生0069,1,1400069,2016
0,1400070,1400070@st.asojuku.ac.jp,学生0070,1,1400070,2016
0,1400071,1400071@st.asojuku.ac.jp,学生0071,1,1400071,2016
0,1400070,1400072@st.asojuku.ac.jp,学生0072,1,1400072,2016
0,1400073,1400073@st.asojuku.ac.jp,学生0073,1,1400073,2016
0,1400074,1400074@st.asojuku.ac.jp,学生0074,1,1400074,2016
0,1400075,1400075@st.asojuku.ac.jp,学生0075,1,1400075,2016
0,1400076,1400076@st.asojuku.ac.jp,学生0076,1,1400076,2016
0,1400077,1400077@st.asojuku.ac.jp,学生0077,1,1400077,2016
0,1400078,1400078@st.asojuku.ac.jp,学生0078,1,1400078,2016
0,1400079,1400079@st.asojuku.ac.jp,学生0079,1,1400079,2016
0,1400080,1400080@st.asojuku.ac.jp,学生0080,1,1400080,2016
0,1400081,1400081@st.asojuku.ac.jp,学生0081,1,1400081,2016
0,1400080,1400082@st.asojuku.ac.jp,学生0082,1,1400082,2016
0,1400083,1400083@st.asojuku.ac.jp,学生0083,1,1400083,2016
0,1400084,1400084@st.asojuku.ac.jp,学生0084,1,1400084,2016
0,1400085,1400085@st.asojuku.ac.jp,学生0085,1,1400085,2016
0,1400086,1400086@st.asojuku.ac.jp,学生0086,1,1400086,2016
0,1400087,1400087@st.asojuku.ac.jp,学生0087,1,1400087,2016
0,1400088,1400088@st.asojuku.ac.jp,学生0088,1,1400088,2016
0,1400089,1400089@st.asojuku.ac.jp,学生0089,1,1400089,2016
0,1400090,1400090@st.asojuku.ac.jp,学生0090,0,1400090,2016
0,1400091,1400091@st.asojuku.ac.jp,学生0091,0,1400091,2016
0,1400090,1400092@st.asojuku.ac.jp,学生0092,0,1400092,2016
0,1400093,1400093@st.asojuku.ac.jp,学生0093,0,1400093,2016
0,1400094,1400094@st.asojuku.ac.jp,学生0094,0,1400094,2016
0,1400095,1400095@st.asojuku.ac.jp,学生0095,0,1400095,2016
0,1400096,1400096@st.asojuku.ac.jp,学生0096,0,1400096,2016
0,1400097,1400097@st.asojuku.ac.jp,学生0097,0,1400097,2016
0,1400098,1400098@st.asojuku.ac.jp,学生0098,0,1400098,2016
0,1400099,1400099@st.asojuku.ac.jp,学生0099,0,1400099,2016
0,1400100,1400100@st.asojuku.ac.jp,学生0100,0,1400100,2016
0,1400101,1400101@st.asojuku.ac.jp,学生0101,0,1400101,2016
0,1400100,1400102@st.asojuku.ac.jp,学生0102,0,1400102,2016
0,1400103,1400103@st.asojuku.ac.jp,学生0103,0,1400103,2016
0,1400104,1400104@st.asojuku.ac.jp,学生0104,0,1400104,2016
0,1400105,1400105@st.asojuku.ac.jp,学生0105,0,1400105,2016
0,1400106,1400106@st.asojuku.ac.jp,学生0106,0,1400106,2016
0,1400107,1400107@st.asojuku.ac.jp,学生0107,0,1400107,2016
0,1400108,1400108@st.asojuku.ac.jp,学生0108,0,1400108,2016
0,1400109,1400109@st.asojuku.ac.jp,学生0109,0,1400109,2016
0,1400110,1400110@st.asojuku.ac.jp,学生0110,0,1400110,2016
0,1400111,1400111@st.asojuku.ac.jp,学生0111,0,1400111,2016
0,1400110,1400112@st.asojuku.ac.jp,学生0112,0,1400112,2016
0,1400113,1400113@st.asojuku.ac.jp,学生0113,0,1400113,2016
0,1400114,1400114@st.asojuku.ac.jp,学生0114,0,1400114,2016
0,1400115,1400115@st.asojuku.ac.jp,学生0115,0,1400115,2016
0,1400116,1400116@st.asojuku.ac.jp,学生0116,0,1400116,2016
0,1400117,1400117@st.asojuku.ac.jp,学生0117,0,1400117,2016
0,1400118,1400118@st.asojuku.ac.jp,学生0118,0,1400118,2016
0,1400119,1400119@st.asojuku.ac.jp,学生0119,0,1400119,2016
0,1400120,1400120@st.asojuku.ac.jp,学生0120,0,1400120,2016
0,1400121,1400121@st.asojuku.ac.jp,学生0119,3,1400121,2016
0,1400120,1400122@st.asojuku.ac.jp,学生0120,3,1400122,2016
0,1400123,1400123@st.asojuku.ac.jp,学生0121,3,1400123,2016
0,1400124,1400124@st.asojuku.ac.jp,学生0122,3,1400124,2016
0,1400125,1400125@st.asojuku.ac.jp,学生0123,3,1400125,2016
0,1400126,1400126@st.asojuku.ac.jp,学生0124,3,1400126,2016
0,1400127,1400127@st.asojuku.ac.jp,学生0125,3,1400127,2016
0,1400128,1400128@st.asojuku.ac.jp,学生0126,3,1400128,2016
0,1400129,1400129@st.asojuku.ac.jp,学生0127,3,1400129,2016
0,1400130,1400130@st.asojuku.ac.jp,学生0126,4,1400130,2016
0,1400131,1400131@st.asojuku.ac.jp,学生0127,4,1400131,2016
0,1400130,1400132@st.asojuku.ac.jp,学生0128,4,1400132,2016
0,1400133,1400133@st.asojuku.ac.jp,学生0129,4,1400133,2016
0,1400134,1400134@st.asojuku.ac.jp,学生0130,4,1400134,2016
0,1400135,1400135@st.asojuku.ac.jp,学生0131,4,1400135,2016
0,1400136,1400136@st.asojuku.ac.jp,学生0132,4,1400136,2016
0,1400137,1400137@st.asojuku.ac.jp,学生0133,4,1400137,2016
0,1400138,1400138@st.asojuku.ac.jp,学生0134,4,1400138,2016
0,1400139,1400139@st.asojuku.ac.jp,学生0135,4,1400139,2016
0,1400140,1400140@st.asojuku.ac.jp,学生0136,4,1400140,2016
0,1400141,1400141@st.asojuku.ac.jp,学生0137,4,1400141,2016
0,1400140,1400142@st.asojuku.ac.jp,学生0138,4,1400142,2016
0,1400143,1400143@st.asojuku.ac.jp,学生0139,4,1400143,2016
0,1400144,1400144@st.asojuku.ac.jp,学生0140,4,1400144,2016
0,1400145,1400145@st.asojuku.ac.jp,学生0141,4,1400145,2016
0,1400146,1400146@st.asojuku.ac.jp,学生0142,4,1400146,2016
0,1400147,1400147@st.asojuku.ac.jp,学生0143,4,1400147,2016
0,1400148,1400148@st.asojuku.ac.jp,学生0144,4,1400148,2016
0,1400149,1400149@st.asojuku.ac.jp,学生0145,4,1400149,2016
0,1400150,1400150@st.asojuku.ac.jp,学生0146,4,1400150,2016
0,1400151,1400151@st.asojuku.ac.jp,学生0147,4,1400151,2016
0,1400150,1400152@st.asojuku.ac.jp,学生0148,4,1400152,2016
