ロールID,学籍番号/社員番号,メールアドレス,ニックネーム,学科,パスワード,入学年度
1,00000001,nishino2@asojuku.ac.jp,教員01,0,nishino2,2000
1,00000002,nishino3@asojuku.ac.jp,教員02,1,nishino3,2000
1,00000003,nishino4@asojuku.ac.jp,教員03,2,nishino4,2000
1,00000004,nishino5@asojuku.ac.jp,教員04,3,nishino5,2000
1,00000005,nishino6@asojuku.ac.jp,教員05,4,nishino6,2000
1,00000006,nishino7@asojuku.ac.jp,教員06,0,nishino7,2000
1,00000007,nishino8@asojuku.ac.jp,教員07,1,nishino8,2000
1,00000008,nishino9@asojuku.ac.jp,教員08,2,nishino9,2000
1,00000009,nishino10@asojuku.ac.jp,教員09,3,nishino10,2000
1,00000010,nishino11@asojuku.ac.jp,教員10,4,nishino11,2000
1,00000011,nishino12@asojuku.ac.jp,教員11,0,nishino12,2000
1,00000012,nishino13@asojuku.ac.jp,教員12,1,nishino13,2000
1,00000013,nishino14@asojuku.ac.jp,教員13,2,nishino14,2000
1,00000014,nishino15@asojuku.ac.jp,教員14,3,nishino15,2000
1,00000015,nishino16@asojuku.ac.jp,教員15,4,nishino16,2000
1,00000016,nishino17@asojuku.ac.jp,教員16,0,nishino17,2000
1,00000017,nishino18@asojuku.ac.jp,教員17,1,nishino18,2000
1,00000018,nishino19@asojuku.ac.jp,教員18,2,nishino19,2000
1,00000019,nishino20@asojuku.ac.jp,教員19,3,nishino20,2000
1,00000020,nishino21@asojuku.ac.jp,教員20,4,nishino21,2000
